"","Mission","normalized_perf","MoM","normalized_perf_within"
"1","C3M1S1",0.60557981045682,0.981267045194181,0.832406323185012
"2","C3M1S2",0.55678026834203,0.708088726020134,0.765328381147541
"3","C3M1S3",0.167316419976573,0.692328217388657,0.229986607142857
"4","C3M2S2",0.727505058034288,0.979590065099014,1
"5","C3M2S3",0.727505058034288,0.992224251065412,1
"6","C3M3S2",0.611329996805452,0.989042204537708,0.840310304449649
"7","C3M4S2",0,0.681815190965562,0
"8","C3M4S3",0.289240123522521,0.746644295422418,0.397578161592506
"9","C4M1S1",0.028712384197636,0.612623493,0.0339736416975419
"10","C4M1S2",0.713023107230327,0.984628339,0.844066533041224
"11","C4M1S3",0.754445745926951,0.978214665,0.893103007290993
"12","C4M1S4",0.546423969758279,0.787395889,0.646845048081902
"13","C4M2S1",0.000170908316473173,0.625628745,0.000185998246158191
"14","C4M2S2",0.126078159940368,0.978497952,0.149236080432676
"15","C4M3S1",0.0000207645618145309,0.574783015,0.00000825678422459605
"16","C4M3S2",0.0000137897987434787,0.673716847,0
"17","C4M3S3",0.20036231498243,0.631075573,0.237174299013201
"18","C4M3S4",0.316624853583218,0.69002086,0.374806887368198
"19","C4M4S1",0.572462996485997,0.979046414,0.677670270805505
"20","C4M4S2",0.480089021403471,0.853105776,0.568317168419679
"21","C4M4S3",0.844744968586945,0.98221182,1
"22","C4M4S4",0.0736544563944202,0.952246795,0.0871764514496991
"23","C4M5S1",0.556256575444575,0.937985613,0.658484970856388
"24","C4M5S2",0.312641944414865,0.822890971,0.370091885402642
"25","C4M5S3",0.657757427324034,0.985575883,0.778642548116725
"26","NEK1S1",0.00798636992865507,0,0.00756365185895392
"27","NEK1S2",0.000638909594292394,0,0.000213060615745215
"28","NEK1S3",1,0.57,1
"29","NEK1S4",0.976253860078799,0.5,0.976243741344412
"30","NEK1S5",0.971568523053988,1,0.971556407798019
"31","NEK1S6",0.951762325630923,0.98,0.951741770533717
"32","NEK1S7",0.000425939729528215,0,0
"33","NEK1S8",0.151528058779683,0.16,0.151166506871205
"34","NEK2S1",0.344372271323608,0.35,0.432114159046827
"35","NEK2S2",0.0754978170588861,0.08,0.0822942643391522
"36","NEK2S3",0.159301458843574,0.16,0.191327237461901
"37","NEK2S4",0.120327973591737,0.12,0.140620670545858
"38","NEK2S5",0.373442657863912,0.38,0.469936270435024
"39","NEK2S6",0.648173783409648,0.67,0.827376004433361
"40","NEK2S7",0.117026940687893,0.12,0.136325852036575
"41","NEK2S8",0.0122457672239378,0.01,0
"42","NEK2S9",0.611649451602598,0.63,0.77985591576614
"43","NEK2S10",0.743371312959216,0.77,0.951233028539762
"44","NEK2S11",0.288787136620168,0.3,0.359794957051815
"45","NEK2S12",0.713023107230327,0.73,0.911748406760876
"46","NEK2S13",0.0654882334149717,0.07,0.0692712662787476
"47","NEK2S14",0.118730699606006,0.12,0.138542532557495
"48","NEK2S15",0.412096688318603,0.42,0.520227209753394
"49","NEK2S16",0.780854009157704,0.8,1
"50","NEK2S17",0.30177829837078,0.31,0.376697146023829
